hash_id,code,kind,repeat,desc,narrative,air_transport_flag,classification_explanation,matched_positive_rules,matched_negative_rules
897086bcc5e1c020,3.80(a)(1),,False,PRIMARY ENCLOSURES.,"Item Primary Enclosures 3.80 a 1
At the of inspection it was noticed that the marmoset viewing glass had an area that was cracked.
Facility needs to replace/repair cracked viewing glass in order to maintain the exhibit in good repair.
Correct by 2/1/2017
An exit interview was conducted at the end of inspection with the director for training",0,No positive rules matched,[],[]
5bcc609568b0b374,2.36(a),,False,ANNUAL REPORT.,"The facility failed to submit their Annual Report to USDA for Fiscal Year 2014. The facility must submit a report of
it's use of USDA covered species in research for the period covering Oct 1 to Sept 30 (the fiscal year) by December
1 of each calendar year to the Animal Care Eastern Regional Office.
Correct by March 23, 2015
An exit briefing was conducted with the IACUC Chair and the Research Administrator.",0,No positive rules matched,[],[]
9eee44da99c43191,2.27(a),,False,NOTIFICATION OF CHANGE OF OPERATION.,"USDA inspector attempted to reach the IACUC Administrator upon arrival to facility and received automatic email
response explaining that company has been closed since August 2015. The USDA Animal Care Regional Director
must be notified of a change in business operations within 10 days after the change by certified mail. Also, the
facility must ensure that they complete and send, by certified mail, their Annual Report to the USDA Form 7023 for
Fiscal Year 2015 which was from Oct 1 2014 - Sept 30, 2015.
The address of the Eastern Regional Office is:
920 Main Campus Drive
Suite 200
Raleigh, NC 27606
Correct immediately.",0,No positive rules matched,[],[]
9eee44da99c43191,2.38(b),,False,MISCELLANEOUS.,"Section 2.38(b) - Access and inspection of records and property: Each research facility shall, during business
hours, allow APHIS officials: (1) To enter its place of business.
A facility representative was not available to allow access at 12:00 on 10/28/2015.",0,No positive rules matched,[],[]
d933639e970120f8,2.38(b),,True,MISCELLANEOUS.,"There was no one available during business hours to allow APHIS Officials to enter and inspect the facilities,
property, records, and animals on20-JUN-17 at 12:00.
On June 20, 2017 the USDA inspector attempted to reach the IACUC Administrator upon arrival to the facility and
received information from the security desk at St. Elizabeth Hospital that the company has been closed since
August 2015. The USDA inspector emailed Genesys representatives and the emails were sent back as invalid
addresses.
This inspection and exit interview could not be conducted since the facility is no longer there.",0,No positive rules matched,[],[]
182c9bbc7e4fbf12,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"A cat traveling on a United flight from Ontario to Kansas City, with a stop in San Francisco was inspected at the
United Cargo office managed by Swissport. The waybill number was 016-51451396. On inspection it was
discovered that the Owner(cid:25)s Feeding and Watering Instructions attached to the crate had not been completed.
There was no documentation as to when the animal was last offered food and water, nor as to the feeding and
watering instructions for the next 24 hours. Intermediate handlers should not accept a dog or cat for transport in
commerce unless the consignor certifies in writing to the carrier and intermediate handler that the animal was
offered food and water during the 4 hours before delivery for transport. This ensures that the animal receives
adequate care during transport. The intermediate handler should take steps to ensure that the carriers for which
they handle animal cargo abide by these requirements.
To be corrected from this time forward.
An exit briefing was conducted with a company representative.",1,"Matched positive rules: ['transport_terms', 'document_terms']","['transport_terms', 'document_terms']",[]
aa66a56c30b68b47,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"At the time of inspection, a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, an intermediate handler, after arriving on Swiss International Flight 38 from Zurich.
There was no signed declaration from the consignor indicating when the dog was last offered food and water, and
what the feeding and watering instructions were to be during transport. The owner's declaration regarding food and
water is essential to help ensure the proper care of the animal, especially in the event of any unexpected delays.
Transporters should take steps to ensure that all dogs and cats that they transport will travel with this
documentation, and that it is securely attached to the outside of the primary enclosure in a manner that makes it
easily noticed and read. The intermediate handler should take steps to ensure that the carriers for which they
handle animal cargo abide by these requirements from this time forward.",1,"Matched positive rules: ['airport_terms', 'transport_terms']","['airport_terms', 'transport_terms']",[]
aa66a56c30b68b47,3.14(a)(6),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE DOGS AND CATS.,"At the time of inspection a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, and intermediate handler, after arriving on Swiss International Flight 38 from
Zurich. The dog was in a crate which was not correctly labeled. There were no ""LIVE ANIMAL"" markings on the
crate, nor were there ""Up Arrow"" markings to indicate the correct upright position. The ""LIVE ANIMAL"" and arrow
labeling on the crate help to ensure that animals in transport are handled properly by all carrier and intermediate
handler personnel, in order to safeguard the health and well-being of the animals. Transporters should take steps to
ensure that all primary enclosures for dogs and cats are correctly labeled at the time of consignment with ""LIVE
ANIMAL"" on top, and one or more sides of the enclosure, and arrows to indicate upright positioning. The
intermediate handler should take steps to ensure that the carriers for which they handle animal cargo abide by
these requirements from this time forward.",1,"Matched positive rules: ['airport_terms', 'transport_terms']","['airport_terms', 'transport_terms']",[]
aa66a56c30b68b47,3.16(c),,False,FOOD AND WATER REQUIREMENTS.,"At the time of inspection a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, an intermediate handler, after arriving on Swiss International Flight 38 from Zurich.
There were no food or water receptacles in the enclosure. Food and water receptacles enable the dog or cat to be
offered food and water during transport, or at any time as needed, according to the consignor's instructions, or in
the event of delays, and are essential to ensuring the well-being of the animals in transit. Transporters should
ensure that upon accepting animals for transport there are food and water receptacles in place that are securely
attached inside the primary enclosure and placed so that the receptacles can be filled from outside the enclosure
without opening the door. The intermediate handler should take steps to ensure that the carriers for which they
handle animal cargo abide by these requirements from this time forward.
An exit interview was conducted with a Swissport representative.",1,"Matched positive rules: ['airport_terms', 'transport_terms']","['airport_terms', 'transport_terms']",[]
bc6340d304a294d2,3.13(a),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"One male Persian cat (DOB 9/12/14) was accepted for transport at 4:25 am on January 13, 2015 (Air Waybill # 016
DSM 4919 3911). The scheduled departure time was approximately 1:45 pm on the same day. The time the animal
was accepted for transport was greater than 4 hours before the scheduled departure time. Accepting an animal for
transport greater than four hours before departure time does not ensure that the animal received proper care prior
to departure.
From this day forward, animals must not be accepted for transport more than 4 hours before the scheduled
departure time.",1,Matched positive rules: ['document_terms'],['document_terms'],[]
