hash_id,code,kind,repeat,desc,narrative
4e2783d467345c33,3.56(c),,False,SANITATION.,"Housekeeping.
*The following housekeeping issues were identified in rabbit housing areas. There was a rabbit restraining device
ready for use that had dried fecal material on its surface; there were several spots of dried blood on the shelf of a
metal cart and on a blood tube holder; the Elizabethan collars of 3 rabbits had fecal material wedged between the
edges of the collar at the closure snaps; and there was dried blood inside the autoclave sterilization pouch that was
being used to store syringes filled with saline.
Per this Section of the Regulations, premises shall be kept clean in order to facilitate prescribed husbandry
practices. The presence of dried fecal material and or blood on equipment does not constitute good housekeeping
and husbandry practices.
The facility needs to review its housekeeping practices and ensure that all staff are familiar with these practices in
order to maintain the cleanliness of the premises.
Correct from this date forward 4/5/17.
NOTE – Inspection conducted 4/3/17 thru 4/5/17. Exit briefing held on-site 4/5/17 with facility personnel.
*END OF REPORT*
Additional Inspectors
Lopinto John, Veterinary Medical Officer"
c49a804e815e3dae,2.33(b)(3),,False,ATTENDING VETERINARIAN AND ADEQUATE VETERINARY CARE.,"In Nov 2017 a medical emergency developed with an animal on study following the administration of a test article.
Study personnel contacted a non-veterinarian who rendered emergency care but the condition of the animal
declined and was euthanized. Although there was a qualified veterinarian available on-site, study personnel did not
contact him/her directly to provide information on the emergency condition that developed in the animal.
Per this Section of the Regulations, daily observation of animals may be accomplished by someone other than the
attending veterinarian but a mechanism of direct and frequent communication to the veterinarian is required so that
timely and accurate information on problems of animal health is conveyed to the veterinarian. Failure to contact a
veterinarian when problems of animal health develop can compromise animal welfare.
Correct from this date forward 3/28/18.
Inspection conducted 3/26/18 thru 3/28/18 with facility personnel. Exit briefing held 3/28/18 with facility personnel.
Additional Inspectors
Lopinto John, Veterinary Medical Officer
Gladue Paula, Veterinary Medical Officer"
ce4958e333fb7106,2.31(c)(4),,False,INSTITUTIONAL ANIMAL CARE AND USE COMMITTEE (IACUC).,"In April of 2018, the escape of several rabbits from their enclosures was reported to the IACUC. Additional training
on rabbit caging was provided to personnel. Three days after the training was conducted, two more rabbits
escaped. No additional corrective action was taken at that time. From August to September 2018, six additional
rabbits escaped from their enclosures. These incidents were all reported to the IACUC by facility personnel. No
further action has been taken.
The enclosures at this facility are elevated off the floor on a rack system, and there is a substantial risk of injury to
the rabbits upon escape from these enclosures. These incidents are recurrent despite the additional training
provided by the facility in April. Further investigation of the underlying cause of the escapes is warranted to protect
the animals from potential injury. It is the function of the IACUC to review and investigate reported concerns
involving the care of animals.
To be corrected by: November 16th, 2018"
ce4958e333fb7106,2.32(a),Critical,False,PERSONNEL QUALIFICATIONS.,"On August 24, 2018, an animal was anesthetized for a study procedure. Two research associates were present to
administer and monitor anesthesia. One was a senior employee who was training a junior employee in anesthetic
procedures. The junior employee was responsible for pressure checking the anesthesia machine prior to the
procedure.
The animal was intubated and its vitals were recorded. Eight minutes later, the animal's heart rate was noted to
decline rapidly. The machine was checked and it was discovered that the pop-off valve had remained closed after
the initial pressure check, leading to breathing complications. The veterinarian was immediately notified and
resuscitation was attempted but was unsuccessful.
The anesthetic complications and subsequent death of the animal were the result of failure of personnel to correctly
configure the anesthetic machine after the initial pressure check. It is the responsibility of the research facility to
ensure that personnel involved in animal care, treatment, and use are qualified to perform their duties.
In response to this incident, the facility immediately conducted additional training on anesthetic machine use and
there have been no additional related incidents. Corrected prior to inspection.
This inspection was conducted from 10/15 - 10/16/18. An initial exit interview was conducted on site on 10/16/18. A
supplemental exit interview was conducted on site on 10/23/18.
Additional Inspectors
Gladue Paula, Veterinary Medical Officer"
4c4ac5018bf80d82,2.38(f)(1),Critical,False,MISCELLANEOUS.,"On 3/8/19, a rabbit was placed in a restraint device on top of a counter prior to the induction of anesthesia. During
induction, the rabbit escaped from the restraint device onto the counter and ended up in the sink that was set into
the counter. Research staff re-restrained the rabbit and proceeded with induction of anesthesia. During anesthetic
recovery, the animal vocalized and attempted to right itself from recumbency. Veterinary staff was immediately
contacted to assess the animal. On examination, a spinal fracture was identified and the animal was humanely
euthanized. Veterinary staff determined that the fracture occurred between pre-anesthetic assessment of the animal
and its recovery from anesthesia. Inspection of the restraint device by facility personnel revealed a damaged latch
that prevented secure closure of the device. The damaged restraint device did not allow for safe handling of the
animal. Per this section of the regulations, handling shall be done as carefully as possible in a manner that does not
cause trauma or physical harm.
This item has been corrected, as the facility has inspected all restraint devices and replaced them as necessary.
This event was self-reported to the USDA.
This inspection was conducted from 4/8/19 - 4/9/19. This exit briefing was conducted on site with facility personnel
on 4/9/19.
Additional Inspectors
Gladue Paula, Veterinary Medical Officer"
fab7a8970bec0130,2.33(b)(3),Critical,False,Attending veterinarian and adequate veterinary care.,"In April 2021, a rabbit on study was found entrapped in an e-collar. Review of the incident revealed that the animal had
been observed by research staff that morning. The animal was recorded as “healthy” at the time of that observation, but it
was discovered 1 hour and 22 minutes later entrapped in the collar and in distress. The attending veterinarian was
notified.
The entrapment had resulted in a laceration and swelling of the muzzle of the animal, causing narrowing of the animal's
airway leading to respiratory distress. On exam, the animal was cyanotic and had lost 27% of its body weight. Facility
representatives note that the extent of the injury and the weight loss was such that it was unlikely to have occurred in the
82 minutes between clinical observation by designated research staff and observation of the animal in distress by the
veterinary staff. Accurate information about the condition of the animal at the time of the initial observation was not
recorded or conveyed to the attending veterinarian.
Daily observation of animals to assess their health and well-being may be conducted by someone other than the
attending veterinarian provided that timely and accurate information on problems of animal health is conveyed to the
attending veterinarian.
This incident was identified by the facility and corrective measures had been implemented prior to this inspection. To
remain corrected from this date forward.
This inspection and exit interview were conducted with facility representatives.
End Section"
cd34fff0bf5a0ead,2.31(d)(1)(ii),,False,Institutional Animal Care and Use Committee (IACUC).,"An IACUC approved training protocol that includes surgical procedures does not contain a written narrative of the
methods and sources used to determine that alternatives to potentially painful or distressful procedures were not
available.
In order to approve proposed activities the IACUC shall determine that the principal investigator has considered
alternatives to procedures that may cause more than momentary or slight pain or distress to the animals and has provided
a written narrative description of the methods and sources used to determine that alternatives were not available.
To be corrected by October 1, 2023."
cd34fff0bf5a0ead,2.31(e)(2),,False,Institutional Animal Care and Use Committee (IACUC).,"An IACUC approved training protocol does not contain a rationale for the appropriateness of the numbers of animals to be
used.
Another IACUC approved protocol stated a need to use a large number of animals to 'normalize results' and create a 'high
power study,' but no details, such as statistical tests used or statisticians consulted, were included to support the
statement.
All animal use protocols must include a rationale for the appropriateness of the numbers of animals to be used that
enables the IACUC to conduct a thorough review of the components of the activities related to the care and use of
animals and determine that the proposed activities are in accordance with the Animal Welfare Act.
To be corrected by October 1, 2023.
This inspection and exit interview were conducted with facility representatives.
Additional Inspectors:
Tonya Hadjis, Supervisory Animal Care Specialist n"
a56151bc362c3ee4,2.126(b),,False,Access and inspection of records and property; submission of itineraries.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 1100am on
7/30/2024. The inspector attempted to contact the licensee/registrant by Phone. Failure to provide access to the facility,
animals, and records for inspection is a serious violation of the AWA and regulations. Failure to comply may result in
enforcement action.
End Section"
80598ad644d81f55,3.153(a)(1)(iii),,False,Primary enclosures.,"A single male cockatoo had bent several wire hog ties on a wire access patch to the enclosure and had escaped and was
free on the property at the time of inspection.
The nest box on an enclosure containing 3 rose breasted cockatoos had an approximately 3-inch diameter hole chewed
through a panel on the back wall creating an opening large enough for the inhabitants to escape the enclosure.
The primary enclosure must be constructed and maintained to contain the bird securely.
Correct by 06 Nov 2024
This inspection and exit interview were conducted with Facility Representative.
n"
0dbf4a9ccbeefabd,2.126(b),,False,Access and inspection of records and property; submission of itineraries.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 1:35pm on August
26,2024. The inspector attempted to contact the licensee/registrant by listed site address, contacts, and email. Failure to
provide access to the facility, animals, and records for inspection is a serious violation of the AWA and regulations. Failure
to comply may result in enforcement action.
End Section"
273a6a9b62b2f47c,2.126(b),,True,Access and inspection of records and property; submission of itineraries.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 10:30am on
10/23/2024. The inspector attempted to contact the licensee/registrant by Phone. Registrant stated they are ""too busy""
and ""doesn't have time"" for inspection.. Failure to provide access to the facility, animals, and records for inspection is a
serious violation of the AWA and regulations. Failure to comply may result in enforcement action.
End Section"
