,hash_id,code,kind,repeat,desc,narrative,flag_include_1,flag_air_transit
35,95b50f60687b127b,2.130,,False,MINIMUM AGE REQUIREMENTS.,"On 13 May 2018, according to the paperwork for American Airlines Waybills 06761646 and 06761300 the
intermediate handler accepted shipments of kittens where the age on the Health Certificates (dated 11 May 18) is
only 7 weeks old. No cat shall be accepted by any intermediate handler or carrier for transportation in commerce
unless such cat is 8 weeks of age and has been weaned. Per this regulation, all dogs and cats transported in
commerce must be at least 8 weeks of age and fully weaned. This facility must take steps to assure that future
acceptance of all dogs are at the minimum age for the health and safety of the animals.
Correct from this day forward.
This inspection and exit interview were conducted with facility representatives.",True,True
36,6901e62167a7a540,2.126(b),,False,Access and inspection of records and property; submission of itineraries.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 1330 on
28Aug2023. Email attempts to contact local and regional personnel were not answered within allotted 30 minute wait
period. Inspector departed airport at 1415.
End Section",True,True
37,b07ab964cab011cc,2.25(a),,False,Requirements and procedures.,"The facility's registration expired 09/01/23. The facility representative stated that they were not aware of the expiration
date.
A current and active registration is necessary to transport regulated species to be in compliance with the Animal Welfare
Act and Regulations. Each carrier or handler who handles covered animals shall ensure they are registered with USDA by
completing and filing a properly executed form and that the registration is updated every 3 years by the completion and
filing of a new registration form.
Airwaybill # 001-79932204 shows that one (1) Live dog, a Golden Retriever, age 8 weeks, was shipped on 10/12/2023 on
flight # 2463 from Chicago O’ Hare International Airport to Sacramento International Airport. At approximately 1330 hours
on October 12, 2023, a GAT cargo employee was observed handling the above-mentioned dog.
No regulated activities may be conducted until a USDA registration is obtained.",True,True
38,b07ab964cab011cc,2.78(c),,False,Health certification and identification.,"At the cargo office for General Aviation Terminal, two cats had been accepted for transport on waybill # 173-07836920, on
a flight bound for Honolulu. The shipment date on the waybill was 04/10/2023. APHIS form 7001 was signed by the
issuing veterinarian on 3/29/2023. There are twelve (12) days between the veterinarian health certificate and the waybill.
Intermediate handlers must ensure that the Health Certificate issued by a licensed veterinarian is in accordance with
paragraph (a) referencing article (2.78 (a)(1) and is issued on a specified date which shall not be more than 10 days from
the initial issuance of the Health Certificate
This inspection and exit interview were conducted in the cargo area with the ground handler.
Additional Inspectors:
KATHARINE FRANK, VETERINARY MEDICAL OFFICER n",True,True
39,7f1484f703800b0f,2.25(a),,True,Requirements and procedures.,"The facility's registration expired 09/01/23. The facility representative stated that they were not aware of the expiration
date.
A current and active registration is necessary to transport regulated species to be in compliance with the Animal Welfare
Act and Regulations. Each carrier or handler who handles covered animals shall ensure they are registered with USDA by
completing and filing a properly executed form and that the registration is updated every 3 years by the completion and
filing of a new registration form.
Airwaybill # 001-79932204 shows that one (1) Live dog, a Golden Retriever, age 8 weeks, was shipped on 10/12/2023 on
flight # 2463 from Chicago O’ Hare International Airport to Sacramento International Airport. At approximately 1330 hours
on October 12, 2023, a GAT cargo employee was observed handling the above-mentioned dog.
No regulated activities may be conducted until a USDA registration is obtained.",True,True
40,7f1484f703800b0f,2.78(c),,True,Health certification and identification.,"At the cargo office for General Aviation Terminal, two cats had been accepted for transport on waybill # 173-07836920, on
a flight bound for Honolulu. The shipment date on the waybill was 04/10/2023. APHIS form 7001 was signed by the
issuing veterinarian on 3/29/2023. There are twelve (12) days between the veterinarian health certificate and the waybill.
Intermediate handlers must ensure that the Health Certificate issued by a licensed veterinarian is in accordance with
paragraph (a) referencing article (2.78 (a)(1) and is issued on a specified date which shall not be more than 10 days from
the initial issuance of the Health Certificate
This inspection and exit interview were conducted in the cargo area with
the cargo handler.
Additional Inspectors:
KATHARINE FRANK, VETERINARY MEDICAL OFFICER n",True,True
92,ca7c477cc227e39e,2.32(c)(1),,False,PERSONNEL QUALIFICATIONS.,"Two baboon enclosures had loops of water lines entering the cage from the top at the time of inspection. The
waterlines were attached to the source and to the cage at the water nipple. This created a loop of water line
sufficiently large for the animals to put a head through and possibly cause strangulation. Facility personnel
immediately removed the water lines from the enclosure when they were pointed out by USDA personnel and the
animal staff was instructed to assure the cages were pulled away from the water line origin to prevent the lines from
being reintroduced to the cages. Two more Baboons had enrichment devices attached to the front of their
enclosures by a rope that was sufficiently long that it could be pulled into the enclosure (but not the enrichment
device). This would create a loop of rope sufficiently large that a head or limb could be passed through and become
entrapped. Personnel must ensure that the enclosures in which animals are placed do not contribute to these risks.
Correct by ensuring that personnel are properly trained to handle animals and equipment in a manner that takes
into account the special capabilities and behaviors of the animals.
Two racks of rabbit enclosures, containing six rabbits each, had water nipples that did not fully reach into the
cage. The animal care staff had not noticed that the nipples did not break the plane of the back of the cage where
they were supposed to come into the cage through a hole approximately one and a half inches in diameter. The
staff had provided water bottles to two of the animals as an addition to the nipples. Having the nipple essentially
recessed into a small hole makes it difficult for the animal to easily access fresh water and could cause stress in the
animal and possibly lead to dehydration. Correct by ensuring that personnel are properly trained to monitor that the
basic needs of each animal are easily accessible.
One cat, that had recently had surgery, was noted to be in an enclosure that contained an Elizabethan collar.
The collar was not on the animal even though the surgical record said an E-collar would be used and did not have
any end date for the wear of the device. The collar is used to prevent self-injurious behavior and, if not on, may lead
to animal injury. Correct by ensuring personnel are properly trained to assure post-procedural care is provided and
documented as directed.
Immediate post-procedural care was outlined in the protocols for two animals but there was no documentation of
these procedures being performed by the investigative staff. An anesthesia record was present but did not indicate
any animal information past the discontinuation of anesthesia or for the remainder of the procedure day. Animal
number 23161 had no immediate post-procedural record and animal number 444 also had no immediate
post-procedural record and facility personnel stated that the procedure may go as late as 8 PM at which point the
animal would be returned to its enclosure. Failure to complete proper post-procedural care could lead to animals
experiencing unnecessary pain or distress and, often, the only way to monitor that the investigators are following the
standards approved by the IACUC is by records review. Correct by ensuring personnel are properly trained and
document their compliance with established post-procedural care.
All of the noted items above, except post-procedural care were addressed by the facility when identified by
USDA personnel. Correct against the future occurrence of these items by ensuring training and instruction of all
personnel in humane methods of animal maintenance and experimentation. The training must include: The basic
needs of each species of animal; Proper handling and care for the various species of animals used by the facility;
Proper pre-procedural and post- procedural care of animals; and Aseptic surgical methods and procedures.
To be corrected by 26 August 2016",True,True
193,d392033d36d2e9d3,2.33(b)(2),,False,Attending veterinarian and adequate veterinary care.,"On March 17th, 2022, expired propofol was administered to a calf to achieve an appropriate plane of anesthesia mid
procedure. The use of expired medications could lead to an inadequate level of sedation. The facility must ensure the use
of appropriate methods to prevent, control, diagnose, and treat diseases and injuries. This issue was corrected prior to
inspection.",True,True
647,4f80288ab4b08fbb,3.16(c),,False,FOOD AND WATER REQUIREMENTS.,"Food and water receptacles.
One of the food/water receptacles for a transport enclosure containing an adult dog (airway bill 48327602) was
loose on the floor of the enclosure. The receptacle is not securely attached to the inside of the primary enclosure so
that it can be filled from the outside without opening the door. This could affect the health and comfort of the dog
since feeding and watering is limited to a single receptacle since the other one cannot be used or could result in
escape, if the door is opened to feed or water the animal. Accept for transport only primary enclosures with securely
attached food and water receptacles so that the animals may be safely fed and watered without escaping their
transport enclosure.
Inspection conducted at United Airlines cargo area at Minneapolis-St Paul International Airport.
Exit interview conducted with facility representative at cargo area.",True,True
776,eaeee9f35578b782,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"A cat traveling on a United flight from Ontario to Kansas City, with a stop in San Francisco was inspected at the
United Cargo office. The waybill number was 016-51451396. On inspection it was discovered that the Owner(cid:25)s
Feeding and Watering Instructions attached to the crate had not been completed. There was no documentation as
to when the animal was last offered food and water, nor as to the feeding and watering instructions for the next 24
hours.
Carriers should not accept dogs and cats for transport unless the consignor certifies in writing to the carrier that the
animal was offered food and water during the 4 hours before delivery for transport. This requirement helps to assure
that the animal will receive adequate care during transport. Steps should be taken to ensure that all personnel
accepting animals on behalf of United understand and abide by this requirement.
To be corrected from this time forward.
An exit interview was conducted with a United Cargo office representative.",True,True
