,hash_id,code,kind,repeat,desc,narrative,flag_include_1,flag_include_2,flag_include_3,flag_exclude_1,flag_exclude_2,flag_overheating
876,837700b2de36945b,2.33(b)(3),Critical,False,Attending veterinarian and adequate veterinary care.,"Three separate research teams had adverse events involving the care and use of animals but failed to promptly
communicate the events to the Attending Veterinarian (AV) team.
• Based on available clinical and research records, a macaque was recorded as being hypothermic throughout a four-hour
anesthesia (93.3 – 93.7 degrees F) and vomited during recovery in January 2021. The research team did not contact the
AV team to report timely and accurate information about the macaque’s condition. The following morning during routine
daily observations, the AV team found the macaque unresponsive in its enclosure. It was noted that the anesthesia and
recovery records were incomplete, and that vomiting had not been recorded in the records. Despite immediate response
by the AV team upon notification, the macaque’s condition continued to deteriorate, and it was subsequently euthanized.
The necropsy documented bronchopneumonia. Due to the lack of communication from the research team, the AV team
was not afforded the opportunity to assess the animal’s condition in a timely manner.
• Five incidences of cats not recovering as anticipated from neuroscience research procedures over the past year were
documented by an IACUC investigation. In each instance, the researcher indicated that the cats were QAR (quiet, alert
and responsive) when returned to their housing enclosure following procedures performed under anesthesia as described
in the IACUC-approved protocol. The researcher did not recognize any abnormal findings and did not communicate any
concerns to the AV team. Yet the AV team determined during same-day evaluations shortly thereafter that the cats were
in fact painful, hypothermic, hyperthermic, in shock, and/or in distress and required immediate medical intervention by the
AV team.
• Five rabbits that had undergone prior IACUC-approved surgical procedures did not receive protocol-directed gabapentin
on a Sunday in May 2021. The research person responsible for administering the medication ran out of sufficient
medication but did not contact the AV team for guidance. The research team contacted the AV team on Monday morning
upon noting the lack of Sunday medication administration. Upon notification, the AV team promptly evaluated the
impacted animals and reported that no ill effects were noted due to this missed medication administration. The AV team
provided gabapentin to the research team and it was subsequently administered per protocol. The AV team was not
afforded the opportunity to evaluate the animals in a timely manner.
Failure of research staff to make and communicate daily observations to the AV team in a timely manner can have direct
and significant impacts on the health and wellbeing of research animals. Per the regulations, each research facility shall
establish and maintain programs of adequate veterinary care that include daily observations of all animals to assess their
health and well-being. A mechanism of direct and frequent communication is required so that timely and accurate
information on problems of animal health behavior, and well-being is conveyed to the AV. Correct by 05Aug2021.
Corrective actions already in progress (05August2021) by the institution include implementation of new AV-directed,
IACUC-approved SOPs for all researchers. Subsequent significant training of research staff is in development for delivery.
Increased communication between research teams and the AV team has already occurred and will continue.",True,False,True,False,False,True
878,837700b2de36945b,3.127(a),,False,"Facilities, outdoor.","Upon arrival at the farm at 8 am on 29July2021, inspectors observed a group of 10 sheep that had no shade available
except that provided by the three-sided, unventilated run-in shed and an ineffective shade cloth structure. The shade
factor of the shade cloth over the hay area was low and allowed excessive amounts of sun to penetrate, resulting in
inadequate shade. Upon re-evaluation of the amount of shade in the enclosure at approximately 12 pm, adequate shade
again could not be confirmed. The sheep were noted to be closely lined up along the narrow strip of shade available
provided by the outside overhang of the roof of the run-in shed. Several were standing in direct sunlight due to
inadequate shaded space availability. Temperatures for that day were recorded at 95 degrees F with high humidity.
Inadequate shade provision during periods of direct sunlight, high heat and humidity can cause significant stress and
discomfort to the animals. Upon discussion of the inspectors’ inadequate shade observations with the AV during the
inspection, the AV team immediately evaluated the animals and determined that they were exhibiting no signs of heat
exhaustion. The AV team also evaluated the enclosure and acknowledged the lack of adequate shade. Fans were
promptly added inside the run-in sheds in use at the time of inspection. Per subsequent communication with the AV, upon
fan installation, the interior shed temperatures decreased by 15-20 degrees and the sheep were reported to go inside the
run-in sheds soon after the interior fan installation. Additional high-performance fans have been ordered since inspection.
Per the regulation, when sunlight is likely to cause overheating or discomfort of the animals, sufficient shade by natural or
artificial means shall be provided to allow all animals kept outdoors to protect themselves from direct sunlight. This item
was corrected during inspection.
This inspection and exit interview were conducted with facility representatives.
Additional Inspectors:
PAULA GLADUE, VETERINARY MEDICAL OFFICEREnd Section",True,False,True,False,False,True
984,d33c5122dee179a4,3.127(a),,False,"Facilities, outdoor.","One pasture containing 5 horses at RCEF had no shelter or shade of any type. The temperature was recorded to be 95
degrees F, with a reported heat index of 105 degrees F.
Lack of adequate shade can cause significant heat stress and physical distress to animals housed outdoors. Per the
regulations, when sunlight is likely to cause overheating or discomfort of the animals, sufficient shade by natural or
artificial means shall be provided to allow all animals kept outdoors to protect themselves from direct sunlight. Correct by
18August2021.",True,False,True,False,False,True
1434,dfa355ec3a6a6097,3.76(a),,False,Indoor housing facilities.,"In a primate building, animal hospital room #302 housing 14 pig-tailed macaques, there was a temperature deviation on
July 10, 2021, the temperature was above 85 degrees F for at least 5 hours. The maximum temperature reached 87.51
degrees F at 10am. This temperature deviation in room #302 also occurred on July 21, 2021, housing 15 pig-tailed
macaques, for at least 4 hours and on July 22, 2021, housing 14 pig-tailed macaques, for at least 7 hours. Temperatures
reached a maximum of 87.85 degrees F on July 21st at 3pm and 88.49 degrees F on July 22nd at 4pm.
The facility manager informed me that an alarm should go off when temperatures are above 83 degrees F for greater than
20 minutes, however the alarm was not working and he was unsure when it stopped working. When the temperature
deviation was identified on July 22nd, animal technicians opened inside doors and placed fans to provide increased air
circulation. The HVAC unit was reset and functioned normally after the reset.
High temperatures can be uncomfortable to non-human primates and may lead to overheating and other medical issues if
prolonged. The indoor housing facilities must be sufficiently cooled when necessary to protect the non-human primates'
health and well-being and must not rise above 85 degrees F for more than 4 consecutive hours when non-human
primates are present.
Correct from this date forward.",True,False,True,False,False,True
1872,9783b72742fab2ce,3.78(b),,False,OUTDOOR HOUSING FACILITIES.,"According to facility records, as indicated by the veterinarian or husbandry technicians, several animals were noted
as either having necrotic tails or being cold during the past winter.
On 12/04/14, animal 3908501726, was noted by the veterinarian as having a (cid:28)necrotic tail (frost bitten), dehyd(cid:29). This
animal received treatment and tail amputation on 12/4/14. Prior to November 11/29/14, this animal was housed in
an outdoor enclosure. Historical weather data, taken from www.wunderground.com, shows the following minimum
local temperatures (T, degrees Fahrenheit) and wind chills (WC, degrees Fahrenheit): 11/29/14 T: 42 WC: 35;
11/28/14 T: 39 WC: 31; 11/27/14 T: 39 WC: 32; 11/26/14 T: 46 WC: 40.
On 12/16/14, animal 142948, was noted by the veterinarian as having a (cid:28)necrotic tail tip(cid:29) and on 12/24/14 was noted
as (cid:28)necrotic tail (2nd event), possibly frost bitten, dehydrated, BCS 2(cid:29). This animal received treatment and tail
amputations on 12/6/14 and 12/24/14. According to records, this animal was housed in an outdoor enclosure during
these time periods. Historical weather data, taken from www.wunderground.com, shows the following minimum
local temperatures (T, degrees Fahrenheit) and wind chills (WC, degrees Fahrenheit): 12/16/14 T: 39 WC: 35;
12/15/14 T: 37 WC: 30; 12/14/14 T: 35 WC: 29; 12/13/14 T: 39 WC: 33; 12/12/14 T: 39 WC: 33.
On 12/15/14, a non-human primate housed in outdoor enclosure 23C, was noted by a husbandry technician as
(cid:28)looks very thin, moving slow with sunken eyes, shivering by himself(cid:29). Historical weather data, taken from
www.wunderground.com, shows the following minimum local temperatures (T, degrees Fahrenheit) and wind chills
(WC, degrees Fahrenheit): 12/15/14 T: 37 WC: 30; 12/14/14 T: 35 WC: 29; 12/13/14 T: 39 WC: 33; 12/12/14 T: 39
WC: 33.
On 12/26/14, the husbandry technician noted in outdoor enclosures Q18-21, (cid:28)all Q w/ cyno(cid:25)s were huddled
together-COLD!(cid:29). Historical weather data, taken from www.wunderground.com, shows the following minimum local
temperatures (T, degrees Fahrenheit) and wind chills (WC, degrees Fahrenheit): 12/26/14 T: 55 WC: 52; 12/25/14
T: 60 WC: 58.
On 1/18/15, the husbandry technician noted in outdoor enclosure 22C (cid:28)possible sick monkey, rough
haircoat-huddled together-had head down(cid:29). The veterinarian(cid:25)s response was (cid:28)22C monkey pile reason of huddled
was cuz it was cold this morning(cid:29). Historical weather data, taken from www.wunderground.com, shows the following
minimum local temperatures (T, degrees Fahrenheit) and wind chills (WC, degrees Fahrenheit): 1/18/14 T: 59 WC:
57; 1/17/14 T: 42 WC: 35.
On 2/11/15, the husbandry technician noted in outdoor enclosures 23B, (cid:28)monkey w/ no hair-shivering-no one
huddling w/ her(cid:29). Historical weather data, taken from www.wunderground.com, shows the following minimum local
temperatures (T, degrees Fahrenheit) and wind chills (WC, degrees Fahrenheit): 2/11/15 T: 46 WC: 41; 2/10/15 T:
48 WC: 42.
According to facility personnel, as stated to the Animal Care Veterinary Medical Officers, the facility does not
provide supplemental heat to all outdoor enclosures. It is up to the discretion of facility personnel to determine which
enclosure(s) receive supplemental heat. Additionally, the facility does not have the resources to provide supplement
heat to all outdoor enclosures.
Failure to provide supplemental heat can lead to health and medical conditions including cold stress, frostbite,
hypothermia and death. The facility must safely provide heat to all outdoor enclosures when the ambient
temperatures fall below 45 degrees Fahrenheit and/or when the animals are exhibiting &/may show signs of cold
stress.
To be corrected by 7/31/15.",True,False,True,False,False,True
3033,5932b679d59d6ffd,3.127(b),Direct,False,"Facilities, outdoor.","A large number of animals do not have access to an appropriate shelter: a total of 3 striped skunk, 83 red fox and 29 artic
fox. One of the male skunk was noticed to be shivering within its enclosure. A video taken during the inspection shows the
skunk continued to shiver for at least 3 minutes. The skunk’s enclosure had a shelter box but the door had been blocked,
restricting the skunk’s access to use the shelter. The rest of the enclosure consists of a wire floor and wire hooped walls &
roof, with no other wind or rain break. This same type of enclosure and method of restricting access to the shelter boxes
was observed for 11 of the 83 total red fox and 3 of the 29 total arctic fox as well as the 3 striped skunk. Most of these
enclosures had either nothing acting as additional wind or rain break, or a small section of shingle-like paper material
covering about 25% of the roof and not sufficient to afford adequate protection from the elements for the animals
contained therein. The facility representative stated that the majority of these shelters had been blocked off (either turning
the box so the door faced a wall or placing a board over the entrance hole) the day before in order to aid the facility
representatives in moving animals for breeding purposes. The remaining 72 red fox and 26 artic fox have enclosures that
do not have any form of protection from the elements on all four sides of their enclosure. All four sides and the floor of the
enclosure are all constructed with wire mesh. The top of the enclosure is the only solid surface to provide the animals with
any protection from the elements and weather extremes. The licensee stated that this is to keep their coats full by
preventing hair breakage associated with rubbing against or lying inside a shelter box. The Weather Channel recorded the
overnight low on 11/21-22/2021 at 21 degrees Fahrenheit and the high on 11/22/2021 at 37 degrees F. Inadequate
shelters do not allow the animals the ability to have protection from wind, rain, snow or other weather extremes. Cold
weather exposure can lead to hypothermia and/or unnecessary stress and discomfort. The licensee must ensure that all
animals have access to an appropriate shelter for the local climatic conditions and that afford them adequate protection to
prevent discomfort.
Correct by: Close of Business 11/24/2021 for the male skunk identified in this report and 12/22/2021 for all other animals",True,False,True,False,False,True
3138,add4ab19d2409d09,2.131(e),Direct,False,Handling of animals.,"Five Mink were found to be excessively hot during the inspection. All of the Mink are housed in an open-sided barn
containing two long rows of primary enclosures under a metal roof. All of the Mink were laying down and were inactive
during the inspection. Five Mink were laying stretch-out, turned onto their backs with their bellies and legs in the air and
appeared lethargic. These Mink were also observed panting and open mouth breathing. When disturbed, the Mink did
get up, but quickly returned to their previous posture and resumed panting and/or open mouth breathing. One mink did
not move until it was touched even though inspectors were talking around these animals. The behavior of these animals
indicates that the mink were being adversely impacted by the heat. The mink were inspected at approximately noon and
the recorded high temperature for the area according to weatherunderground.com was 90 degrees Fahrenheit. The high
temperature for the day was 92 degrees Fahrenheit and was not reached until at 4:52 PM. The licensee stated that he
could install a fan that day to alleviate the heat.
When climatic conditions present a threat to an animal’s health or well-being, appropriate measures must be taken to
alleviate the impact of these conditions. Failure to alleviate the impact of extreme heat can result in discomfort, heat
stress, and in extreme cases death. Correct by ensuring that animals are never subjected to any combination of
temperature, humidity, and time that would be detrimental to their health or well-being considering their species, age,
health status, and acclimation. Correct by: 5 PM on 6/5/2023.",True,False,True,False,False,True
4226,46daadfa8fc5766a,2.131(e),,False,HANDLING OF ANIMALS.,"CRITICAL NCI
***On January 28, 2014, the male African porcupine was removed from his indoor enclosure and placed outside in a
bedded 3-sided shelter for greater than 4 hours. The animal was found recumbent in the afternoon and brought
inside for treatment of exposure to cold temperatures. The animal was unresponsive to treatment and died later
than evening. The temperatures on that day were a low of 8 degrees and a high of 18 degrees. Animals may never
be subjected to any combination of temperature, humidity, and time that is detrimental to their health or well-being,
taking into consideration such factors as age, species, and acclimation status to the current climate. The male
African crested porcupine, a warm-climate species, was exposed to excessively cold temperatures for a prolonged
period of time which was detrimental to its health. Procedures must be implemented to ensure animals are handled
appropriately at all times and that no more animals are exposed to climatic conditions that are detrimental to their
health. Correct immediately.
An exit briefing was conducted with the facility representative.
The facility representative refused to sign the inspection report because a disagreement with some of the NCIs.",True,False,True,False,False,True
4811,8aa1c86dcac25909,2.131(b)(1),Direct,False,Handling of animals.,"The licensee has three adult brown bears, two juvenile brown bears and two adult black bears. The three adult brown
bears are housed in separate metal barrels that measure 4’ wide by 5-6’ long. The two juvenile brown bears are housed
together in one metal barrel that measures 4’ wide by 5’ long. The female black bear is housed in a metal barrel that
measures 4’ wide and 5-6’ long. All six of these bears are locked into these metal barrels with no ability to move out of the
barrels if desired. At the time of inspection, these bears were awake in their barrels with no access to food or water.
Additionally, the climatic temperatures were 34 degrees F.
Bears that are awake and locked into these metal barrels are in a state of unrelieved suffering as they have no ability to
move out of the barrels, no access to food and water and have limited ability to self-regulate temperatures during winter
weather conditions. Bears that are awake during their hibernation period and housed in metal barrels are susceptible to
hypothermia as the metal barrels are not insulated and provide no warmth.
Handling of animals shall be done as expeditiously and carefully as possible in a manner that does not cause trauma,
overheating, excessive cooling, behavioral stress, physical harm, or unnecessary discomfort.
All animals must be handled in a manner that does not cause physical harm, or unnecessary discomfort. Appropriate
space, housing, food, and water must be provided to these bears to relieve undue suffering.
To be corrected by January 29, 2021 at 10:00 AM, EST.",True,False,True,False,False,True
4816,8aa1c86dcac25909,3.127(b),Direct,True,"Facilities, outdoor.","The licensee has 3 adult brown bears, 2, two year old juvenile brown bears, and 2 adult black bears. Three adult brown
bears are locked in metal barrels that measure 4' wide by 5-6' long. The two juvenile bears are locked in together in a
metal barrel that measures 4' wide by 5' long. The female black bear is also locked in a barrel that measures 4' wide by
5-6 ' long. One enclosure housing two cougars has two shelters. When approaching one cougar walked out of an
enclosure that had soaking wet bedding. The high temperature for Portland, IN on the date of inspection was 34 degrees
F.
Natural or artificial shelter appropriate to the local climatic conditions for the species concerned shall
be provided for all animals kept outdoors to afford them protection and to prevent discomfort to such animals.
Metal is unforgiving, and creates an environment around the bears that is too cold for the current outdoor temperatures.
An appropriate shelter must be provided to the bears to alleviate the state of unrelieved suffering. Clean, dry bedding
must be maintained in the shelter for the cougar to afford it comfort in cold weather.",True,False,True,False,False,True
